fecha,cant_fallecidos
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,1
2020-03-16,1
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,2
2020-03-23,1
2020-03-24,1
2020-03-25,4
2020-03-26,2
2020-03-27,3
2020-03-28,5
2020-03-29,1
2020-03-30,5
2020-03-31,5
2020-04-10,5
2020-04-11,9
2020-04-12,12
2020-04-13,7
2020-04-14,11
2020-04-15,12
2020-04-16,16
2020-04-17,5
2020-04-18,13
2020-04-19,9
2020-04-20,10
2020-04-21,10
2020-04-22,9
2020-04-23,10
2020-04-24,15
2020-04-25,11
2020-04-26,18
2020-04-27,11
2020-04-28,13
2020-04-29,21
2020-04-30,26
2020-05-10,19
2020-05-11,34
2020-05-12,13
2020-05-13,14
2020-05-14,23
2020-05-15,27
2020-05-16,20
2020-05-17,26
2020-05-18,28
2020-05-19,32
2020-05-20,32
2020-05-21,31
2020-05-22,46
2020-05-23,45
2020-05-24,42
2020-05-25,28
2020-05-26,52
2020-05-27,41
2020-05-28,44
2020-05-29,53
2020-05-30,54
2020-05-31,51
2020-06-10,78
2020-06-11,84
2020-06-12,87
2020-06-13,86
2020-06-14,122
2020-06-15,107
2020-06-16,119
2020-06-17,117
2020-06-18,137
2020-06-19,119
2020-06-20,126
2020-06-21,150
2020-06-22,149
2020-06-23,145
2020-06-24,154
2020-06-25,151
2020-06-26,151
2020-06-27,154
2020-06-28,149
2020-06-29,165
2020-06-30,166
2020-07-10,216
2020-07-11,228
2020-07-12,223
2020-07-13,268
2020-07-14,238
2020-07-15,258
2020-07-16,258
2020-07-17,304
2020-07-18,279
2020-07-19,268
2020-07-20,277
2020-07-21,338
2020-07-22,316
2020-07-23,322
2020-07-24,328
2020-07-25,304
2020-07-26,318
2020-07-27,340
2020-07-28,343
2020-07-29,353
2020-07-30,384
2020-07-31,359
2020-08-10,328
2020-08-11,353
2020-08-12,301
2020-08-13,347
2020-08-14,301
2020-08-15,307
2020-08-16,306
2020-08-17,302
2020-08-18,323
2020-08-19,335
2020-08-20,300
2020-08-21,320
2020-08-22,279
2020-08-23,278
2020-08-24,296
2020-08-25,297
2020-08-26,267
2020-08-27,308
2020-08-28,293
2020-08-29,282
2020-08-30,225
2020-08-31,266
2020-09-10,222
2020-09-11,229
2020-09-12,218
2020-09-13,212
2020-09-14,219
2020-09-15,206
2020-09-16,217
2020-09-17,221
2020-09-18,193
2020-09-19,220
2020-09-20,174
2020-09-21,233
2020-09-22,205
2020-09-23,197
2020-09-24,193
2020-09-25,188
2020-09-26,200
2020-09-27,200
2020-09-28,209
2020-09-29,199
2020-09-30,193
2020-10-10,202
2020-10-11,212
2020-10-12,207
2020-10-13,212
2020-10-14,184
2020-10-15,202
2020-10-16,212
2020-10-17,202
2020-10-18,182
2020-10-19,207
2020-10-20,206
2020-10-21,207
2020-10-22,191
2020-10-23,240
2020-10-24,213
2020-10-25,210
2020-10-26,221
2020-10-27,220
2020-10-28,209
2020-10-29,235
2020-10-30,224
2020-10-31,201
2020-11-10,205
2020-11-11,203
2020-11-12,227
2020-11-13,204
2020-11-14,210
2020-11-15,231
2020-11-16,221
2020-11-17,188
2020-11-18,215
2020-11-19,217
2020-11-20,213
2020-11-21,230
2020-11-22,224
2020-11-23,217
2020-11-24,232
2020-11-25,205
2020-11-26,232
2020-11-27,231
2020-11-28,219
2020-11-29,211
2020-11-30,200
2020-12-10,220
2020-12-11,252
2020-12-12,224
2020-12-13,241
2020-12-14,220
2020-12-15,247
2020-12-16,267
2020-12-17,265
2020-12-18,278
2020-12-19,277
2020-12-20,284
2020-12-21,304
2020-12-22,287
2020-12-23,287
2020-12-24,301
2020-12-25,271
2020-12-26,313
2020-12-27,275
2020-12-28,309
2020-12-29,370
2020-12-30,343
2020-12-31,304
2021-01-10,389
2021-01-11,427
2021-01-12,427
2021-01-13,447
2021-01-14,418
2021-01-15,441
2021-01-16,430
2021-01-17,470
2021-01-18,461
2021-01-19,471
2021-01-20,447
2021-01-21,480
2021-01-22,417
2021-01-23,392
2021-01-24,419
2021-01-25,451
2021-01-26,419
2021-01-27,405
2021-01-28,367
2021-01-29,373
2021-01-30,354
2021-01-31,340
2021-02-10,250
2021-02-11,206
2021-02-12,250
2021-02-13,222
2021-02-14,240
2021-02-15,190
2021-02-16,215
2021-02-17,229
2021-02-18,215
2021-02-19,187
2021-02-20,179
2021-02-21,188
2021-02-22,181
2021-02-23,197
2021-02-24,175
2021-02-25,157
2021-02-26,157
2021-02-27,150
2021-02-28,163
2021-03-10,129
2021-03-11,125
2021-03-12,130
2021-03-13,163
2021-03-14,149
2021-03-15,158
2021-03-16,142
2021-03-17,162
2021-03-18,142
2021-03-19,156
2021-03-20,148
2021-03-21,196
2021-03-22,174
2021-03-23,165
2021-03-24,165
2021-03-25,193
2021-03-26,213
2021-03-27,180
2021-03-28,183
2021-03-29,233
2021-03-30,229
2021-03-31,236
2021-04-10,363
2021-04-11,341
2021-04-12,417
2021-04-13,453
2021-04-14,462
2021-04-15,449
2021-04-16,463
2021-04-17,499
2021-04-18,476
2021-04-19,528
2021-04-20,516
2021-04-21,571
2021-04-22,538
2021-04-23,514
2021-04-24,509
2021-04-25,460
2021-04-26,540
2021-04-27,529
2021-04-28,556
2021-04-29,518
2021-04-30,514
2021-05-10,576
2021-05-11,575
2021-05-12,545
2021-05-13,537
2021-05-14,562
