codigo_dane,municipio,tasa_incidencia,tasa_mortalidad
05002,ABEJORRAL,2909.1401,772.2952
05004,ABRIAQUÍ,2928.2144,276.25
50006,ACACÍAS,8924.6732,2574.671
27006,ACANDÍ,3702.5534,1519.2421
41006,ACEVEDO,1949.4874,2311.0865
13006,ACHÍ,1904.1588,392.4297
41013,AGRADO,4240.1282,2127.3
25001,AGUA DE DIOS,6307.4097,920.4937
20011,AGUACHICA,5671.7672,3055.1205
68013,AGUADA,4386.2417,132.4561
17013,AGUADAS,3270.8241,792.4732
85010,AGUAZUL,8340.6874,3167.5868
20013,AGUSTÍN CODAZZI,7319.3341,2178.221
41016,AIPE,4824.5251,966.4083
68020,ALBANIA,1941.1634,329.3461
44035,ALBANIA,6275.5376,1094.4872
18029,ALBANIA,6865.8875,1069.2415
25019,ALBÁN,3571.8576,1011.3368
52019,ALBÁN,5191.6749,948.1689
76020,ALCALÁ,5736.8169,2031.3332
52022,ALDANA,3282.1823,1714.7268
05021,ALEJANDRÍA,3802.2707,801.982
47030,ALGARROBO,3799.0109,1424.5308
41020,ALGECIRAS,5769.8995,2612.9524
19022,ALMAGUER,1153.0908,393.8604
15022,ALMEIDA,3834.0076,477.5343
73024,ALPUJARRA,2053.994,278.6458
41026,ALTAMIRA,4225.588,2255.7952
27025,ALTO BAUDÓ,507.2724,278.4845
13030,ALTOS DEL ROSARIO,2240.3768,803.466
73026,ALVARADO,2478.9438,956.7838
05030,AMAGÁ,4570.8337,1419.2583
05031,AMALFI,3306.596,1176.0007
73030,AMBALEMA,2299.6716,1479.4516
25035,ANAPOIMA,10970.6499,1277.761
52036,ANCUYA,2316.8647,322.2333
76036,ANDALUCÍA,4876.5874,2213.1911
05034,ANDES,3240.949,924.2704
05036,ANGELÓPOLIS,2312.1646,702.8342
05038,ANGOSTURA,1630.0574,226.0671
25040,ANOLAIMA,3465.6911,1367.7749
05040,ANORÍ,1815.5726,966.5469
17042,ANSERMA,3760.9487,1630.6726
76041,ANSERMANUEVO,4059.8086,2696.9812
73043,ANZOÁTEGUI,1479.8634,523.7366
05044,ANZÁ,4862.8863,644.8482
